id,fen,plies
KQNKBB,7Q/7K/7N/8/4b3/3kb3/8/8 w - - ,163
KQNKRB,8/N7/6Q1/8/3b4/8/1K1k4/5r2 w - - ,141
KQNKQB,q7/7Q/8/8/1K2N3/8/8/1k4b1 w - - ,87
KQNKRR,8/r6N/8/8/r3K3/8/7Q/2k5 w - - ,347
KQNKQR,7q/r7/6K1/8/6Q1/8/4N3/3k4 w - - ,105
KQNKQQ,6q1/8/8/Q7/8/2qK4/8/1N1k4 w - - ,83
KNKNNN,8/8/8/8/8/8/nn6/knN1K3 w - - ,1
KNKBNN,8/8/8/8/8/8/b7/knKnN3 w - - ,1
KNKRNN,8/8/8/8/8/8/r2N4/knKn4 w - - ,1
KNKQNN,8/8/8/8/8/8/qn6/knK1N3 w - - ,1
KNKBBN,8/8/8/8/8/8/b7/knK1Nb2 w - - ,1
KNKRBN,8/8/8/8/8/8/r2N4/kbKn4 w - - ,1
KNKQBN,8/8/8/8/8/8/b1q5/knK1N3 w - - ,1
KNKRRN,8/8/8/8/8/8/r2Nr3/knK5 w - - ,1
KNKQRN,8/8/8/8/8/8/r2Nq3/knK5 w - - ,1
KNKQQN,8/8/8/8/8/8/qnq5/k1K1N3 w - - ,1
KNKBBB,8/8/8/8/8/8/b7/k1K1Nbb1 w - - ,1
KNKRBB,8/8/8/8/8/8/r2N4/kbK1b3 w - - ,1
KNKQBB,8/8/8/8/8/8/b7/k1K1Nbq1 w - - ,1
KNKRRB,8/8/8/8/8/8/r2Nr3/kbK5 w - - ,1
KNKQRB,8/8/8/8/8/8/r2Nq3/kbK5 w - - ,1
KNKQQB,8/8/8/8/8/5q2/b1q5/k1K1N3 w - - ,1
KNKRRR,8/8/8/8/8/8/r2Nrr2/k1K5 w - - ,1
KNKQRR,8/8/8/8/8/8/r2Nqr2/k1K5 w - - ,1
KNKQQR,8/8/8/8/8/8/r2Nqq2/k1K5 w - - ,1
KNKQQQ,,
KBBBBK,7K/8/8/8/7B/6B1/7B/2kB4 w - - ,25
KRBBBK,7K/8/8/8/8/8/BR6/kBB5 w - - ,21
KQBBBK,2B1Q3/3B4/4K3/8/8/8/4B3/1k6 w - - ,11
KBBBKN,8/8/8/1B6/K7/2n5/1Bk5/7B w - - ,155
KBBBKB,8/8/8/BK6/8/8/8/1b1kB2B w - - ,51
KBBBKR,K7/8/8/8/8/8/B3r2B/1Bk5 w - - ,149
KBBBKQ,8/8/8/B7/1B2B3/8/qk6/4K3 w - - ,47
KRRBBK,1R6/7K/8/8/8/8/BR6/kB6 w - - ,19
KQRBBK,8/8/8/8/8/8/4B1KR/k4B1Q w - - ,9
KRBBKN,8/8/8/8/8/1nk5/3RB3/K1B5 w - - ,155
KRBBKB,8/b7/8/8/3K4/8/BBk5/R7 w - - ,57
KRBBKR,r7/3K4/8/8/B6B/8/R7/1k6 w - - ,139
KRBBKQ,8/B7/8/RB6/5K2/8/1q6/3k4 w - - ,105
KQQBBK,8/8/8/8/8/8/5BB1/k3K1QQ w - - ,7
KQBBKN,8/1B6/3Q4/1n6/3K4/8/2kB4/8 w - - ,151
KQBBKB,8/5b2/8/8/1BK5/7B/Q7/2k5 w - - ,45
